taskSuites,taskName
AtomicFixture,CloseBlenderLid
AtomicFixture,CloseFridge
AtomicFixture,CloseToasterOvenDoor
AtomicFixture,CoffeeSetupMug
AtomicFixture,NavigateKitchen
AtomicFixture,OpenCabinet
AtomicFixture,OpenDrawer
AtomicFixture,OpenStandMixerHead
AtomicFixture,PickPlaceCounterToCabinet
AtomicFixture,PickPlaceCounterToStove
AtomicFixture,PickPlaceDrawerToCounter
AtomicFixture,PickPlaceSinkToCounter
AtomicFixture,PickPlaceToasterToCounter
AtomicFixture,SlideDishwasherRack
AtomicFixture,TurnOffStove
AtomicFixture,TurnOnElectricKettle
AtomicFixture,TurnOnMicrowave
AtomicFixture,TurnOnSinkFaucet
BeveragePreparationServing,DeliverStraw
BeveragePreparationServing,KettleBoiling
BeveragePreparationServing,PrepareCoffee
BeveragePreparationServing,ArrangeTea
BeveragePreparationServing,MakeIceLemonade
BreadBreakfastReheating,GetToastedBread
BreadBreakfastReheating,BreadSelection
BreadBreakfastReheating,GarnishPancake
BreadBreakfastReheating,HeatKebabSandwich
BreadBreakfastReheating,WaffleReheat
CookingIngredientPreparation,SearingMeat
CookingIngredientPreparation,SetUpCuttingStation
CookingIngredientPreparation,SteamInMicrowave
CookingIngredientPreparation,StirVegetables
CookingIngredientPreparation,WashLettuce
CookingIngredientPreparation,CuttingToolSelection
CookingIngredientPreparation,WashFruitColander
CookingIngredientPreparation,WeighIngredients
CleaningWashingSanitation,LoadDishwasher
CleaningWashingSanitation,PreSoakPan
CleaningWashingSanitation,RinseSinkBasin
CleaningWashingSanitation,ScrubCuttingBoard
StorageOrganization,StackBowlsCabinet
StorageOrganization,StoreLeftoversInBowl
StorageOrganization,ArrangeBreadBasket
StorageOrganization,CategorizeCondiments
StorageOrganization,GatherTableware
StorageOrganization,RecycleBottlesByType
StorageOrganization,SeparateFreezerRack
PlatingServingPortioning,PackIdenticalLunches
PlatingServingPortioning,PanTransfer
PlatingServingPortioning,PortionHotDogs
