taskID,numberSubtask,difficulty_horizon
CloseBlenderLid,1,Atomic
CloseFridge,1,Atomic
CloseToasterOvenDoor,1,Atomic
CoffeeSetupMug,1,Atomic
NavigateKitchen,1,Atomic
OpenCabinet,1,Atomic
OpenDrawer,1,Atomic
OpenStandMixerHead,1,Atomic
PickPlaceCounterToCabinet,1,Atomic
PickPlaceCounterToStove,1,Atomic
PickPlaceDrawerToCounter,1,Atomic
PickPlaceSinkToCounter,1,Atomic
PickPlaceToasterToCounter,1,Atomic
SlideDishwasherRack,1,Atomic
TurnOffStove,1,Atomic
TurnOnElectricKettle,1,Atomic
TurnOnMicrowave,1,Atomic
TurnOnSinkFaucet,1,Atomic
DeliverStraw,4,Medium
GetToastedBread,4,Medium
KettleBoiling,2,Short
LoadDishwasher,3,Medium
PackIdenticalLunches,15,Long
PreSoakPan,3,Medium
PrepareCoffee,2,Short
RinseSinkBasin,2,Short
ScrubCuttingBoard,2,Short
SearingMeat,3,Medium
SetUpCuttingStation,2,Short
StackBowlsCabinet,2,Short
SteamInMicrowave,6,Long
StirVegetables,4,Medium
StoreLeftoversInBowl,5,Long
WashLettuce,2,Short
ArrangeBreadBasket,5,Long
ArrangeTea,3,Medium
BreadSelection,2,Short
CategorizeCondiments,2,Short
CuttingToolSelection,2,Short
GarnishPancake,4,Medium
GatherTableware,4,Medium
HeatKebabSandwich,6,Long
MakeIceLemonade,5,Long
PanTransfer,3,Medium
PortionHotDogs,4,Medium
RecycleBottlesByType,3,Medium
SeparateFreezerRack,7,Long
WaffleReheat,4,Medium
WashFruitColander,4,Medium
WeighIngredients,2,Short
