,7 Functional Categories:  1. Atomic primitives / low-level skills 2. Beverage preparation / serving 3. Bread / breakfast / reheating (no raw food) 4. Cooking / ingredient prep (raw food) 5. Cleaning / washing / sanitation 6. Storage / organization 7. Plating / serving / portioning,,,,,,,,
#,Task,Group,Functional category,# Subtasks,Skills involved,Skills,MoMa req.,Objects,Description
1,CloseBlenderLid,Atomic-Seen,1. Atomic primitives / low-level skills,1,Pick & Place,Pick & Place,No,"Blender Lid, Blender",Close the lid blender by securely placing the lid on top.
2,CloseFridge,Atomic-Seen,1. Atomic primitives / low-level skills,1,Close Door,Close Door,No,Fridge,Close the fridge door(s).
3,CloseToasterOvenDoor,Atomic-Seen,1. Atomic primitives / low-level skills,1,Close Door,Close Door,No,"Toaster Oven Door, Toaster Oven",Close the toaster oven door.
4,CoffeeSetupMug,Atomic-Seen,1. Atomic primitives / low-level skills,1,Pick & Place,Pick & Place,No,"Mug, Cabinet, Coffee Machine",Pick the mug from the counter and place it under the coffee machine dispenser.
5,NavigateKitchen,Atomic-Seen,1. Atomic primitives / low-level skills,1,Navigation,Navigation,Yes,Kitchen Fixtures,Navigate to the [kitchen location].
6,OpenCabinet,Atomic-Seen,1. Atomic primitives / low-level skills,1,Open Door,Open Door,No,Cabinet,Open the cabinet door(s).
7,OpenDrawer,Atomic-Seen,1. Atomic primitives / low-level skills,1,Open Drawer,Open Drawer,No,Drawer,Open the [left/right] drawer.
8,OpenStandMixerHead,Atomic-Seen,1. Atomic primitives / low-level skills,1,Open Door,Open Door,No,"Stand Mixer Head, Stand Mixer",Open the stand mixer head.
9,PickPlaceCounterToCabinet,Atomic-Seen,1. Atomic primitives / low-level skills,1,Pick & Place,Pick & Place,No,"Object, Counter, Cabinet",Pick the item from the counter and place it in the cabinet.
10,PickPlaceCounterToStove,Atomic-Seen,1. Atomic primitives / low-level skills,1,Pick & Place,Pick & Place,No,"Object, Counter, Stove",Pick the item from the plate and place it in the pan.
11,PickPlaceDrawerToCounter,Atomic-Seen,1. Atomic primitives / low-level skills,1,Pick & Place,Pick & Place,No,"Object, Drawer, Counter",Pick the item from the drawer and place it on the counter.
12,PickPlaceSinkToCounter,Atomic-Seen,1. Atomic primitives / low-level skills,1,Pick & Place,Pick & Place,No,"Object, Sink, Counter",Pick the item from the sink and place it on the container located on the counter.
13,PickPlaceToasterToCounter,Atomic-Seen,1. Atomic primitives / low-level skills,1,Pick & Place,Pick & Place,No,"Object, Toaster, Counter",Place the toasted item on a plate.
14,SlideDishwasherRack,Atomic-Seen,1. Atomic primitives / low-level skills,1,Slide Rack,Slide Rack,No,"Dishwasher Rack, Dishwasher",Fully slide the top dishwasher rack [in/out].
15,TurnOffStove,Atomic-Seen,1. Atomic primitives / low-level skills,1,Twist Knob,Twist Knob,No,"Stove Burner, Stove Knob",Turn off the [burner location] burner of the stove.
16,TurnOnElectricKettle,Atomic-Seen,1. Atomic primitives / low-level skills,1,Press Lever,Press Lever,No,Electric Kettle,Press down the lever to turn on the electric kettle.
17,TurnOnMicrowave,Atomic-Seen,1. Atomic primitives / low-level skills,1,Press Button,Press Button,No,Microwave,Press the start button on the microwave.
18,TurnOnSinkFaucet,Atomic-Seen,1. Atomic primitives / low-level skills,1,Turn Lever,Turn Lever,No,"Sink Faucet, Sink",Turn on the sink faucet.
19,DeliverStraw,Composite-Seen,2. Beverage preparation / serving,4,"Pick & Place, Open Drawer, Navigation","Open Drawer, Pick, Navigation, Place",Yes,"Straw, Glass Cup",Take a straw from the drawer in front and place it inside the glass cup on the dining counter.
20,GetToastedBread,Composite-Seen,3. Bread / breakfast / reheating,4,"Pick & Place, Start Toaster, Navigation","Start Toaster, Pick, Navigation, Place",Yes,"Bread, Toaster, Plate","Start the toaster. Once the lever pops up, take the bread to the plate on the dining counter."
21,KettleBoiling,Composite-Seen,2. Beverage preparation / serving,2,"Pick & Place, Twist Knob","Pick & Place, Twist Knob",No,"Kettle, Stove Burner",Pick the kettle from the counter and place it on a stove burner. Then turn the burner on.
22,LoadDishwasher,Composite-Seen,5. Cleaning / washing / sanitation,3,"Pick & Place, Close Door, Slide Rack","Pick & Place, Pick & Place, Close Door",No,"Dishes, Dishwasher, Dishwasher Door","Pick up the items from the counter, place them in the dishwasher, and close the dishwasher door."
23,PackIdenticalLunches,Composite-Seen,7. Plating / serving / portioning,15,"Pick & Place, Navigation","Pick, Navigation, Place, Navigation, Pick, Navigation, Place, Navigation, Pick, Navigation, Place, Navigation, Pick, Navigation, Place",Yes,"Vegetable, Meat, Tupperware","Place two identical items of each object in each tupperware on the nearby counter, to pack two identical lunches."
24,PreSoakPan,Composite-Seen,5. Cleaning / washing / sanitation,3,"Pick & Place, Turn Lever","Pick & Place, Pick & Place, Turn Lever",No,"Pan, Sponge, Sink, Sink Faucet",Pick the pan and sponge and place them into the sink. Then turn on the water.
25,PrepareCoffee,Composite-Seen,2. Beverage preparation / serving,2,"Pick & Place, Press Button","Pick & Place, Press Button",No,"Mug, Cabinet, Coffee Machine","Pick the mug from the cabinet, place it under the coffee machine dispenser, and press the start button."
26,RinseSinkBasin,Composite-Seen,5. Cleaning / washing / sanitation,2,Turn Lever,"Turn Lever, Turn Lever (Move?)",No,"Sink Basin, Sink Faucet",Turn on the sink and manuever the spout to wash all locations of the sink basin.
27,ScrubCuttingBoard,Composite-Seen,5. Cleaning / washing / sanitation,2,"Pick & Place, Navigatation","Pick, Scrub, Place",Yes,"Sponge, Cutting Board","Pick up the sponge from the counter and clean the cutting board by briefly scrubbing or pressing down on the cutting board. Once finished, release the sponge."
28,SearingMeat,Composite-Seen,4. Cooking / ingredient prep,3,"Pick & Place, Twist Knob, Navigation","Pick & Place, Pick & Place, Twist Knob",Yes,"Pan, Cabinet, Meat, Stove Burner, Stove",Grab the pan from the cabinet and place it on the [burner location] burner on the stove. Then place the item on the stove and turn the burner on.
