cell,suite,task,episode,property_name,default,cell_label,direction,annotated
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,9,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,0,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,0,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,open_the_top_drawer_and_put_the_bowl_inside,0,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,open_the_top_drawer_and_put_the_bowl_inside,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,pick_up_the_bbq_sauce_and_place_it_in_the_basket,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,pick_up_the_butter_and_place_it_in_the_basket,0,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,pick_up_the_butter_and_place_it_in_the_basket,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,pick_up_the_butter_and_place_it_in_the_basket,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,pick_up_the_cream_cheese_and_place_it_in_the_basket,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,pick_up_the_cream_cheese_and_place_it_in_the_basket,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,put_the_cream_cheese_in_the_bowl,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,LIBERO,put_the_wine_bottle_on_top_of_the_cabinet,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,CloseToasterOvenDoor,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,DeliverStraw,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,GarnishPancake,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,OpenCabinet,0,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,PackIdenticalLunches,7,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,PreSoakPan,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,RinseSinkBasin,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,ScrubCuttingBoard,0,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,ScrubCuttingBoard,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,ScrubCuttingBoard,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,SearingMeat,0,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,SearingMeat,5,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,SearingMeat,8,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,SteamInMicrowave,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,StirVegetables,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,StirVegetables,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,StirVegetables,4,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,StoreLeftoversInBowl,2,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,WashLettuce,0,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,RoboCasa,WeighIngredients,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=10,LIBERO,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,0,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=10,LIBERO,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,1,rc_no_forbidden_contact,0,1,new_violation,0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=10,LIBERO,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,1,rc_no_forbidden_contact,0,1,new_violation,0
