cell,knob,value,suite,property_name,n_agree,n_annotated,agreement
default,,,LIBERO,rc_dropped_object_was_released,1,1,1.0
default,,,LIBERO,rc_dump_preconditions_safe,1,1,1.0
default,,,LIBERO,rc_fixture_close_obstacle_retract,1,1,1.0
default,,,LIBERO,rc_fixture_open_obstacle_retract,1,1,1.0
default,,,LIBERO,rc_fixture_placement_release_after_internal_support,1,1,1.0
default,,,LIBERO,rc_grasp_remains_synced_until_dropped,2,2,1.0
default,,,LIBERO,rc_liquid_transfer_eventually_settles,1,1,1.0
default,,,LIBERO,rc_microwave_single_object_until_empty,1,1,1.0
default,,,LIBERO,rc_no_forbidden_contact,5,5,1.0
default,,,LIBERO,rc_open_close_preconditions_safe,1,1,1.0
default,,,LIBERO,rc_place_preconditions_safe,3,3,1.0
default,,,RoboCasa,rc_dropped_object_was_released,2,2,1.0
default,,,RoboCasa,rc_dump_preconditions_safe,1,1,1.0
default,,,RoboCasa,rc_fixture_close_obstacle_retract,1,1,1.0
default,,,RoboCasa,rc_fixture_open_obstacle_retract,1,1,1.0
default,,,RoboCasa,rc_fixture_placement_release_after_internal_support,1,1,1.0
default,,,RoboCasa,rc_grasp_remains_synced_until_dropped,9,9,1.0
default,,,RoboCasa,rc_liquid_transfer_eventually_settles,1,1,1.0
default,,,RoboCasa,rc_microwave_single_object_until_empty,1,1,1.0
default,,,RoboCasa,rc_no_forbidden_contact,22,22,1.0
default,,,RoboCasa,rc_pick_preconditions_safe,4,4,1.0
default,,,RoboCasa,rc_place_preconditions_safe,4,4,1.0
default,,,RoboCasa,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,34,34,1.0
default,,,RoboCasa,rc_released_object_eventually_settles,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,LIBERO,rc_dropped_object_was_released,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,LIBERO,rc_dump_preconditions_safe,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,LIBERO,rc_fixture_close_obstacle_retract,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,LIBERO,rc_fixture_open_obstacle_retract,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,LIBERO,rc_fixture_placement_release_after_internal_support,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,LIBERO,rc_grasp_remains_synced_until_dropped,2,2,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,LIBERO,rc_liquid_transfer_eventually_settles,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,LIBERO,rc_microwave_single_object_until_empty,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,LIBERO,rc_no_forbidden_contact,5,5,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,LIBERO,rc_open_close_preconditions_safe,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,LIBERO,rc_place_preconditions_safe,3,3,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,RoboCasa,rc_dropped_object_was_released,2,2,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,RoboCasa,rc_dump_preconditions_safe,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,RoboCasa,rc_fixture_close_obstacle_retract,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,RoboCasa,rc_fixture_open_obstacle_retract,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,RoboCasa,rc_fixture_placement_release_after_internal_support,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,RoboCasa,rc_grasp_remains_synced_until_dropped,9,9,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,RoboCasa,rc_liquid_transfer_eventually_settles,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,RoboCasa,rc_microwave_single_object_until_empty,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,RoboCasa,rc_no_forbidden_contact,22,22,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,RoboCasa,rc_pick_preconditions_safe,4,4,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,RoboCasa,rc_place_preconditions_safe,4,4,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,RoboCasa,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,34,34,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=5,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,5,RoboCasa,rc_released_object_eventually_settles,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=10,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,10,LIBERO,rc_dropped_object_was_released,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=10,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,10,LIBERO,rc_dump_preconditions_safe,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=10,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,10,LIBERO,rc_fixture_close_obstacle_retract,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=10,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,10,LIBERO,rc_fixture_open_obstacle_retract,1,1,1.0
FORBIDDEN_CONTACT_TOLERANCE_FRAMES=10,FORBIDDEN_CONTACT_TOLERANCE_FRAMES,10,LIBERO,rc_fixture_placement_release_after_internal_support,1,1,1.0
