suite,task,episode,property_name,instance_index,section,violated,unsafe_windows,unsafe_frames,unified_windows,unified_frames,ever_non_accepting,final_trap,num_frames,monitor_path
RoboCasa,ArrangeBreadBasket,3,rc_dropped_object_was_released,0,violations,1,1,1,1,1,0,0,826,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/ArrangeBreadBasket/privileged_information_3_monitor.json
RoboCasa,ArrangeTea,2,rc_no_forbidden_contact,0,violations,1,1,1,1,1,0,0,838,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/ArrangeTea/privileged_information_2_monitor.json
RoboCasa,ArrangeTea,3,rc_no_forbidden_contact,0,violations,1,1,5,1,5,0,0,936,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/ArrangeTea/privileged_information_3_monitor.json
RoboCasa,ArrangeTea,9,rc_no_forbidden_contact,0,violations,1,1,16,1,16,0,0,759,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/ArrangeTea/privileged_information_9_monitor.json
RoboCasa,CategorizeCondiments,7,rc_no_forbidden_contact,0,violations,1,1,1,1,1,0,0,751,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/CategorizeCondiments/privileged_information_7_monitor.json
RoboCasa,CloseBlenderLid,5,rc_no_forbidden_contact,0,violations,1,1,4,1,4,0,0,418,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/CloseBlenderLid/privileged_information_5_monitor.json
RoboCasa,CloseToasterOvenDoor,8,rc_no_forbidden_contact,0,violations,1,1,18,1,18,0,0,272,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/CloseToasterOvenDoor/privileged_information_8_monitor.json
RoboCasa,DeliverStraw,2,rc_released_object_eventually_settles,0,violations,1,0,0,1,1,0,0,955,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/DeliverStraw/privileged_information_2_monitor.json
RoboCasa,GarnishPancake,7,rc_no_forbidden_contact,0,violations,1,1,10,1,10,0,0,903,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/GarnishPancake/privileged_information_7_monitor.json
RoboCasa,GarnishPancake,7,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,1,violations,1,1,1,1,1,0,0,903,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/GarnishPancake/privileged_information_7_monitor.json
RoboCasa,HeatKebabSandwich,7,rc_grasp_remains_synced_until_dropped,0,violations,1,2,2,2,2,0,0,1173,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/HeatKebabSandwich/privileged_information_7_monitor.json
